,2018-12-15 10:10:00,2018-12-15 10:15:00,2018-12-15 10:20:00,2018-12-15 10:25:00,2018-12-15 10:30:00,2018-12-15 10:35:00,2018-12-15 10:40:00,2018-12-15 10:45:00,2018-12-15 10:50:00,2018-12-15 10:55:00,2018-12-15 11:00:00,2018-12-15 11:05:00,2018-12-15 11:10:00,2018-12-15 11:15:00,2018-12-15 11:20:00,2018-12-15 11:25:00,2018-12-15 11:30:00,2018-12-15 11:35:00,2018-12-15 11:40:00,2018-12-15 11:45:00,2018-12-15 11:50:00,2018-12-15 11:55:00,2018-12-15 12:00:00,2018-12-15 12:05:00,2018-12-15 12:10:00,2018-12-15 12:15:00,2018-12-15 12:20:00,2018-12-15 12:25:00,2018-12-15 12:30:00,2018-12-15 12:35:00,2018-12-15 12:40:00,2018-12-15 12:45:00,2018-12-15 12:50:00,2018-12-15 12:55:00,2018-12-15 13:00:00,2018-12-15 13:05:00,2018-12-15 13:10:00,2018-12-15 13:15:00,2018-12-15 13:20:00,2018-12-15 13:25:00,2018-12-15 13:30:00,2018-12-15 13:35:00,2018-12-15 13:40:00,2018-12-15 13:45:00,2018-12-15 13:50:00,2018-12-15 13:55:00,2018-12-15 14:00:00,2018-12-15 14:05:00,2018-12-15 14:10:00,2018-12-15 14:15:00,2018-12-15 14:20:00,2018-12-15 14:25:00,2018-12-15 14:30:00,2018-12-15 14:35:00,2018-12-15 14:40:00,2018-12-15 14:45:00,2018-12-15 14:50:00,2018-12-15 14:55:00,2018-12-15 15:00:00,2018-12-15 15:05:00,2018-12-15 15:10:00,2018-12-15 15:15:00,2018-12-15 15:20:00,2018-12-15 15:25:00,2018-12-15 15:30:00,2018-12-15 15:35:00,2018-12-15 15:40:00,2018-12-15 15:45:00,2018-12-15 15:50:00,2018-12-15 15:55:00,2018-12-15 16:00:00,2018-12-15 16:05:00,2018-12-15 16:10:00,2018-12-15 16:15:00,2018-12-15 16:20:00,2018-12-15 16:25:00,2018-12-15 16:30:00,2018-12-15 16:35:00,2018-12-15 16:40:00,2018-12-15 16:45:00,2018-12-15 16:50:00,2018-12-15 16:55:00,2018-12-15 17:00:00,2018-12-15 17:05:00,2018-12-15 17:10:00,2018-12-15 17:15:00,2018-12-15 17:20:00,2018-12-15 17:25:00,2018-12-15 17:30:00,2018-12-15 17:35:00,2018-12-15 17:40:00,2018-12-15 17:45:00,2018-12-15 17:50:00,2018-12-15 17:55:00,2018-12-15 18:00:00,2018-12-15 18:05:00,2018-12-15 18:10:00,2018-12-15 18:15:00,2018-12-15 18:20:00,2018-12-15 18:25:00,2018-12-15 18:30:00,2018-12-15 18:35:00,2018-12-15 18:40:00,2018-12-15 18:45:00,2018-12-15 18:50:00,2018-12-15 18:55:00,2018-12-15 19:00:00,2018-12-15 19:05:00,2018-12-15 19:10:00,2018-12-15 19:15:00,2018-12-15 19:20:00,2018-12-15 19:25:00,2018-12-15 19:30:00,2018-12-15 19:35:00,2018-12-15 19:40:00,2018-12-15 19:45:00,2018-12-15 19:50:00,2018-12-15 19:55:00
10,9,0,0,2,1,1,0,0,1,0,0,1,0,1,0,1,1,1,0,1,0,0,1,0,1,0,1,2,1,0,0,2,0,0,0,0,2,2,0,0,1,1,0,0,1,1,1,3,1,1,1,1,1,0,2,1,0,1,3,0,0,1,1,0,1,2,0,0,0,0,2,2,2,0,1,0,1,0,1,2,0,0,0,2,0,1,1,4,1,1,1,0,1,1,0,2,0,2,1,0,1,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0
11,5,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
13,3,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,1,0,0,2,0,0,0,2,1,0,1,2,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,2,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,2,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
14,15,0,0,1,0,1,0,0,0,1,0,0,0,0,2,0,0,2,1,2,0,2,0,2,0,0,1,1,3,2,1,2,1,0,2,1,0,2,0,2,2,0,1,1,2,2,0,1,0,0,1,0,1,1,0,0,1,2,1,0,2,3,1,0,1,0,1,0,2,1,1,1,1,1,2,0,0,0,0,1,0,0,2,2,0,3,0,1,1,2,1,1,1,1,0,2,0,1,2,0,0,1,3,3,1,1,2,4,1,1,3,1,2,1,1,4,0,0
15,16,1,2,0,0,1,2,0,1,1,1,0,1,2,1,1,3,1,0,0,1,1,0,1,0,2,0,1,2,0,1,1,1,0,0,1,2,1,0,1,2,2,2,1,0,1,2,2,0,1,1,0,1,1,0,2,1,1,1,0,2,0,1,1,3,1,1,2,0,2,1,0,1,2,0,3,1,1,2,1,0,1,3,2,1,2,1,1,0,2,1,1,0,1,0,1,1,0,1,2,0,2,1,1,1,1,1,3,3,1,2,2,2,1,1,1,2,0
16,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1
17,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,2,0,0,0,0,0
18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
19,24,1,1,2,4,1,0,0,0,2,1,1,0,3,1,1,3,2,2,1,4,2,3,1,1,0,1,2,5,2,1,1,2,0,1,3,1,2,2,3,1,2,2,1,1,3,4,3,1,2,1,2,3,1,2,1,2,1,4,2,1,0,2,1,1,1,1,0,2,1,1,0,4,4,0,3,0,2,1,2,4,1,2,4,3,1,1,1,4,1,0,4,2,0,3,0,1,2,0,1,8,3,1,3,3,1,3,2,6,0,1,2,3,1,3,0,2,0
20,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,2,0,0,0,0,0,2,1,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
21,32,0,0,1,1,4,2,4,1,1,2,1,2,2,3,2,2,3,2,1,1,3,1,1,2,2,0,1,1,3,3,1,3,2,2,2,2,0,3,0,1,0,2,0,0,0,0,1,2,0,2,1,4,2,1,2,2,0,2,1,2,1,2,0,1,0,0,2,1,1,2,2,0,0,4,2,1,1,0,2,3,3,2,1,2,4,2,1,1,1,0,1,1,3,4,2,4,3,0,2,3,0,2,2,4,1,3,2,5,1,0,1,2,1,0,2,1,0
22,14,2,4,3,1,1,2,3,2,1,2,4,2,1,0,1,1,3,0,1,1,1,1,3,2,1,0,2,3,3,2,2,0,6,3,1,2,1,2,2,2,3,3,1,3,1,1,1,0,2,2,1,0,2,1,2,0,2,1,1,1,1,0,1,6,1,0,3,6,1,5,0,0,1,1,4,1,1,0,3,1,4,2,2,2,3,0,3,0,3,1,1,2,1,1,4,0,1,2,0,2,1,1,4,0,1,1,0,1,0,0,0,0,1,1,0,1,0
23,25,2,0,1,1,3,1,5,2,4,6,2,2,3,1,3,1,1,2,4,2,4,2,0,4,1,3,1,1,2,5,2,2,1,1,2,0,1,0,3,1,4,1,0,1,1,3,2,0,0,2,0,1,1,2,3,0,1,2,0,0,1,1,4,1,0,4,1,2,2,3,0,0,4,3,4,1,2,1,2,4,2,2,3,2,1,4,3,1,2,3,1,1,3,3,4,1,1,0,0,3,1,2,2,0,1,0,1,0,0,0,0,1,1,1,0,2,0
24,10,0,0,1,2,0,0,0,1,2,1,0,1,0,3,0,2,2,0,0,0,0,0,0,2,0,1,1,0,1,0,2,0,0,0,0,2,0,0,0,1,2,0,1,0,0,1,2,0,1,0,0,0,0,0,4,0,0,0,0,1,0,0,2,1,0,2,0,0,0,1,1,1,0,0,1,1,0,0,1,0,0,1,0,0,1,1,2,0,0,1,0,2,0,0,0,1,2,1,0,0,0,2,0,1,2,0,0,0,0,3,1,0,0,0,0,0,0
25,3,0,0,2,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,2,0,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
27,16,0,1,0,0,0,0,1,3,3,0,1,0,1,0,2,0,0,1,1,1,1,1,0,1,0,0,0,1,0,3,0,0,0,1,0,1,3,0,1,1,0,0,1,1,0,2,0,0,1,1,0,0,1,3,1,0,1,0,0,1,0,0,3,0,0,0,0,1,2,1,0,1,0,0,1,2,0,2,0,1,0,0,0,1,1,2,1,0,0,1,2,0,3,1,1,0,0,1,1,0,0,0,1,2,1,1,1,1,0,0,0,0,0,0,0,1,0
28,12,0,0,0,1,2,0,0,0,1,1,1,1,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,2,1,0,0,1,1,1,1,0,0,0,0,0,2,0,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,2,4,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,2,2,0,1,0,0,0,0,2,0,2,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,1,1,0,0
29,2,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,8,1,1,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,1,0,2,0,0,1,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,2,1,2,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,2,0,1,0,0,0,0,0,1,1,0,0,0,0,2,0,1,2,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,2,0,0,0,1
31,15,1,0,1,0,0,0,1,4,0,0,2,1,0,0,0,1,0,0,1,2,1,0,0,0,0,1,3,0,2,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,1,4,2,1,0,0,5,1,1,0,0,1,1,1,0,1,0,1,2,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,3,0,0,1,0,1,1,1,2,1,0,1,0,0,4,0,0,0,2,1,0,2,0,1,1,1,0,2,0,0
32,16,3,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,2,2,0,0,0,1,0,3,1,1,1,2,0,1,0,1,1,0,2,2,0,2,2,1,2,1,1,0,2,1,0,1,1,1,0,2,2,1,0,1,1,2,0,0,0,1,2,3,0,2,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,2,1,1,1,1,2,1,1,1,1,0,1,4,0,1,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0
33,5,0,0,2,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,2,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
34,4,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,2,0,1
35,23,1,0,1,1,2,1,2,0,1,2,0,0,0,3,1,0,0,0,1,1,1,1,0,1,2,4,2,1,0,3,0,2,0,0,1,1,1,1,1,1,2,1,1,0,1,2,1,2,0,3,1,1,2,2,1,1,0,2,1,0,7,0,1,3,1,2,1,0,2,0,0,0,1,0,1,1,2,1,3,3,1,0,1,1,2,1,0,0,2,2,2,2,0,0,1,1,1,0,0,1,2,1,2,1,2,1,0,0,0,0,0,0,0,1,2,1,0
36,19,1,0,1,0,1,0,0,1,2,2,1,0,0,1,0,1,1,0,1,0,2,3,1,2,1,1,0,0,2,0,1,1,1,2,1,0,0,0,1,3,1,0,0,2,2,1,1,1,3,2,1,0,0,1,2,0,0,1,0,0,0,0,3,1,0,2,1,2,0,3,3,1,1,2,0,2,3,0,0,1,1,1,0,1,1,1,1,1,2,3,2,0,1,1,0,0,1,0,3,0,1,0,0,1,0,3,1,0,1,1,1,0,1,0,0,1,0
37,2,1,0,0,2,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
38,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0
39,17,1,0,0,1,0,0,0,0,0,1,1,0,0,2,0,0,1,2,0,1,0,1,2,1,0,1,0,0,1,2,0,2,1,0,2,0,1,0,0,2,0,0,1,0,4,0,1,3,1,0,0,1,0,1,0,2,0,2,0,1,2,0,1,1,0,1,3,1,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,3,2,1,0,1,0,1,0,0,1,1,0,0,0,2,1,2,0,0,1,1,0,1,1,0,2,1,1,0,0,0,1,1,1
40,8,0,0,1,2,0,1,0,0,0,1,1,0,2,2,0,0,0,0,1,0,1,1,1,0,2,2,0,0,0,1,0,1,1,1,0,2,1,0,0,0,0,1,0,0,1,0,1,2,0,1,1,1,0,0,0,0,1,0,1,1,0,3,1,0,0,0,0,2,1,0,1,1,1,0,1,1,1,0,0,1,1,2,0,0,1,0,1,1,1,0,0,0,0,2,1,0,1,0,0,1,0,0,0,2,1,1,1,0,0,0,1,0,0,0,0,1,1
41,15,1,1,0,1,1,0,4,2,0,0,0,0,2,0,1,1,0,0,1,1,0,0,0,1,3,3,0,1,2,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,2,1,1,1,0,0,1,0,0,0,0,3,1,2,1,0,2,0,0,2,1,1,0,0,0,1,1,2,0,1,0,1,1,1,0,0,1,0,1,1,1,0,2,0,0,0,2,1,0,0,0,0,0,1,2,0,1,0,0,2,0,0,0,1,0,1,0,1,1
42,14,2,1,0,1,0,0,1,0,0,1,1,1,1,2,0,1,0,0,1,0,1,0,0,1,2,1,0,0,0,0,2,0,0,1,1,1,1,1,1,0,1,0,0,0,3,0,0,0,0,0,2,0,1,0,1,0,0,1,0,0,1,3,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,2,0,0,1,1,0,0,0,1,0,0,0,0
43,2,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,7,1,1,0,0,0,2,1,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,2,0,1,1,1,0,0,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0
